Route,Direction,StopOrder,StopID,PercentDone,ID
122,OB,1,4525,0,302
122,OB,2,4526,1.32,303
122,OB,3,1700,4.89,304
122,OB,4,1701,6.13,305
122,OB,5,1702,7.06,306
122,OB,6,16,8.87,307
122,OB,7,73,10.4,308
122,OB,8,74,12.22,309
122,OB,9,4371,14.27,310
122,OB,10,832,15.43,311
122,OB,11,833,16.4,312
122,OB,12,77,18.05,313
122,OB,13,78,19.95,314
122,OB,14,79,21.5,315
122,OB,15,80,23.18,316
122,OB,16,82,26.75,317
122,OB,17,83,29.21,318
122,OB,18,84,30.37,319
122,OB,19,51,35.48,320
122,OB,20,52,37.2,321
122,OB,21,263,40.14,322
122,OB,22,271,45.05,323
122,OB,23,1278,54.19,324
122,OB,24,1282,57.67,325
122,OB,25,4456,60.32,326
122,OB,26,1284,61.9,327
122,OB,27,1285,65.41,328
122,OB,28,1286,70.14,329
122,OB,29,1288,72.24,330
122,OB,30,1289,73.36,331
122,OB,31,1360,75.98,332
122,OB,32,1362,77.26,333
122,OB,33,1363,79.28,334
122,OB,34,1364,80.14,335
122,OB,35,1365,80.93,336
122,OB,36,1366,83.68,337
122,OB,37,1367,84.55,338
122,OB,38,7455,86.38,339
122,OB,39,7438,88.33,340
122,OB,40,1410,89.54,341
122,OB,41,1411,90.43,342
122,OB,42,1412,91.41,343
122,OB,43,1413,92.35,344
122,OB,44,1414,93.23,345
122,OB,45,1415,94.4,346
122,OB,46,1417,95.58,347
122,OB,47,1418,96.73,348
122,OB,48,5149,97.8,349
122,OB,49,1419,98.57,350
122,OB,50,6094,100,351
123,OB,1,6057,0,352
123,OB,2,2183,1.1,353
123,OB,3,2184,3.32,354
123,OB,4,2185,5.39,355
123,OB,5,1423,7.92,356
123,OB,6,1424,9.35,357
123,OB,7,1425,11.48,358
123,OB,8,1426,13.25,359
123,OB,9,1463,14.81,360
123,OB,10,4399,16.17,361
123,OB,11,4400,17.2,362
123,OB,12,1464,18.33,363
123,OB,13,1469,19.33,364
123,OB,14,1465,20.8,365
123,OB,15,1466,21.49,366
123,OB,16,1467,22.41,367
123,OB,17,1468,24.18,368
123,OB,18,1377,27.68,369
123,OB,19,1378,29.19,370
123,OB,20,4514,31.65,371
123,OB,21,4515,33.44,372
123,OB,22,1995,35.89,373
123,OB,23,1996,38.53,374
123,OB,24,1997,39.8,375
123,OB,25,1998,41.83,376
123,OB,26,1999,44.62,377
123,OB,27,2001,46.78,378
123,OB,28,2002,49.94,379
123,OB,29,1359,55.37,380
123,OB,30,274,64.55,381
123,OB,31,7164,74.83,382
123,OB,32,1505,75.87,383
123,OB,33,4509,80.28,384
123,OB,34,499,82.31,385
123,OB,35,500,83.75,386
123,OB,36,501,85.05,387
123,OB,37,1484,89.09,388
123,OB,38,1481,90.16,389
123,OB,39,7320,92.58,390
123,OB,40,1486,93.98,391
123,OB,41,1487,96.82,392
123,OB,42,1488,97.75,393
123,OB,43,1489,98.57,394
123,OB,44,1490,100,395
130,OB,1,7591,0,396
130,OB,2,7617,2.83,397
130,OB,3,496,5.61,398
130,OB,4,7490,7.78,399
130,OB,5,515,12.66,400
130,OB,6,516,16.32,401
130,OB,7,4384,19.1,402
130,OB,8,519,22.45,403
130,OB,9,521,24.65,404
130,OB,10,522,27.55,405
130,OB,11,7659,29.27,406
130,OB,12,523,30.37,407
130,OB,13,1740,35.2,408
130,OB,14,1741,39.1,409
130,OB,15,1742,42.1,410
130,OB,16,1743,44.44,411
130,OB,17,1744,47.13,412
130,OB,18,1745,48.89,413
130,OB,19,1746,50.12,414
130,OB,20,1747,52.75,415
130,OB,21,1748,55.5,416
130,OB,22,1749,57.13,417
130,OB,23,1751,60.55,418
130,OB,24,1752,62.82,419
130,OB,25,1753,65.17,420
130,OB,26,1754,67.13,421
130,OB,27,1759,68.68,422
130,OB,28,1758,71.86,423
130,OB,29,1750,73.13,424
130,OB,30,1769,75.73,425
130,OB,31,1770,77.38,426
130,OB,32,1771,79.24,427
130,OB,33,1760,81.34,428
130,OB,34,1761,83.86,429
130,OB,35,1762,86.13,430
130,OB,36,1763,90.21,431
130,OB,37,1764,92.34,432
130,OB,38,1765,95.68,433
130,OB,39,1767,100.03,434
13,OB,1,6235,0,435
13,OB,2,327,2.13,436
13,OB,3,6016,5.28,437
13,OB,4,6017,6.14,438
13,OB,5,7192,6.54,439
13,OB,6,4683,7.39,440
13,OB,7,107,8.32,441
13,OB,8,6125,9.49,442
13,OB,9,7092,10.77,443
13,OB,10,110,11.56,444
13,OB,11,112,13.32,445
13,OB,12,113,15.39,446
13,OB,13,114,15.93,447
13,OB,14,115,17.01,448
13,OB,15,37,17.89,449
13,OB,16,38,19.16,450
13,OB,17,39,19.67,451
13,OB,18,116,21.14,452
13,OB,19,117,21.54,453
13,OB,20,118,22.1,454
13,OB,21,119,23.65,455
13,OB,22,44,24.43,456
13,OB,23,7603,25.25,457
13,OB,24,45,26.04,458
13,OB,25,46,27.48,459
13,OB,26,47,28.59,460
13,OB,27,48,29.53,461
13,OB,28,49,30.95,462
13,OB,29,51,32.7,463
13,OB,30,52,33.79,464
13,OB,31,261,35.61,465
13,OB,32,270,38.11,466
13,OB,33,335,42.48,467
13,OB,34,4521,46.12,468
13,OB,35,1935,49.75,469
13,OB,36,1937,52.11,470
13,OB,37,1938,52.94,471
13,OB,38,1939,54.32,472
13,OB,39,1940,55.87,473
13,OB,40,1941,56.57,474
13,OB,41,1942,57.9,475
13,OB,42,1943,58.72,476
13,OB,43,1944,59.51,477
13,OB,44,1945,61.3,478
13,OB,45,1946,62.34,479
13,OB,46,1947,62.79,480
13,OB,47,1948,64.19,481
13,OB,48,1949,64.88,482
13,OB,49,1950,65.67,483
13,OB,50,1951,67.33,484
13,OB,51,1952,67.72,485
13,OB,52,1953,68.08,486
13,OB,53,1954,68.64,487
13,OB,54,1955,69.14,488
13,OB,55,1956,70.16,489
13,OB,56,1957,70.76,490
13,OB,57,1958,71.02,491
13,OB,58,1959,72.31,492
13,OB,59,1960,73,493
13,OB,60,4379,74.71,494
13,OB,61,1963,76.36,495
13,OB,62,4549,76.72,496
13,OB,63,1964,77.39,497
13,OB,64,4674,78.39,498
13,OB,65,4663,79.66,499
13,OB,66,4664,80.73,500
13,OB,67,2160,82.99,501
13,OB,68,2161,83.8,502
13,OB,69,4665,84.19,503
13,OB,70,4666,85.56,504
13,OB,71,4667,86.02,505
13,OB,72,4668,86.81,506
13,OB,73,4677,88.31,507
13,OB,74,2136,88.96,508
13,OB,75,2137,89.47,509
13,OB,76,7201,89.85,510
13,OB,77,2138,90.3,511
13,OB,78,2139,90.63,512
13,OB,79,2140,91.29,513
13,OB,80,2141,91.79,514
13,OB,81,2142,92.16,515
13,OB,82,2143,92.72,516
13,OB,83,2145,93.37,517
13,OB,84,4670,94.07,518
13,OB,85,2165,94.96,519
13,OB,86,2166,95.16,520
13,OB,87,4545,96.64,521
13,OB,88,4552,97.63,522
13,OB,89,4554,97.87,523
13,OB,90,7229,100,524
140,OB,1,7149,0,525
140,OB,2,7277,2.4,526
140,OB,3,6363,3.71,527
140,OB,4,6361,6.11,528
140,OB,5,6367,7.55,529
140,OB,6,4985,8.41,530
140,OB,7,6219,11,531
140,OB,8,6229,12.7,532
140,OB,9,6364,13.91,533
140,OB,10,1558,17.18,534
140,OB,11,4542,22.57,535
140,OB,12,1531,25.04,536
140,OB,13,1532,26.31,537
140,OB,14,1533,28.03,538
140,OB,15,1534,30.06,539
140,OB,16,1535,31.56,540
140,OB,17,1536,33.17,541
140,OB,18,1537,34.71,542
140,OB,19,186,37.79,543
140,OB,20,187,39.93,544
140,OB,21,188,42.91,545
140,OB,22,189,44.63,546
140,OB,23,190,45.71,547
140,OB,24,191,47.89,548
140,OB,25,819,50.16,549
